City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,touros,-5.1989,-35.4608,26.09,84,24,5.89,BR,-10800
159,new norfolk,-42.7826,147.0587,8.2,83,100,1.87,AU,36000
160,guarapari,-20.6667,-40.4975,24.88,72,0,6.67,BR,-10800
161,bairnsdale,-37.8333,147.6167,7.81,93,100,0.45,AU,36000
162,tongchuanshi,35.0806,109.0897,26.22,45,100,1.1,CN,28800
163,bothaville,-27.3887,26.617,12.34,31,0,1.3,ZA,7200
164,camarinas,43.1311,-9.1817,16.63,89,99,6.81,ES,7200
165,pokhara,28.2333,83.9833,23.41,68,7,2.47,NP,20700
166,gadzhiyevo,69.2551,33.3362,13.28,73,100,4.19,RU,10800
167,klyuchi,52.2667,79.1667,20.67,80,100,1.11,RU,25200
168,codajas,-3.8367,-62.0569,29.11,72,100,0.43,BR,-14400
169,upper dir,35.2058,71.8756,20.92,50,80,3.68,PK,18000
170,kavieng,-2.5744,150.7967,27.43,80,100,3.53,PG,36000
171,nola,40.922,14.5329,22.4,66,100,1.18,IT,7200
172,arraial do cabo,-22.9661,-42.0278,27.92,61,0,5.66,BR,-10800
173,sinjai,-5.1241,120.253,23.16,86,89,2.26,ID,28800
174,vadso,70.0744,29.7487,12.09,82,20,4.63,NO,7200
175,tolanaro,-25.0319,46.9987,19.04,94,20,2.06,MG,10800
176,walvis bay,-22.9575,14.5053,25.53,16,0,3.6,NA,7200
177,falenki,58.3613,51.5946,15.17,94,0,2.68,RU,10800
178,papatowai,-46.5619,169.4708,8.87,97,100,1.02,NZ,43200
179,shalqar,47.8333,59.6,27.82,43,23,2.01,KZ,18000
180,alice springs,-23.7,133.8833,7.75,93,0,2.57,AU,34200
181,crane,31.3974,-102.3501,34.52,33,3,9.47,US,-18000
182,smidovich,48.6,133.8167,11.68,97,100,3.63,RU,36000
183,fort st. john,56.2499,-120.8529,5.94,93,100,6.69,CA,-25200
184,flying fish cove,-10.4217,105.6791,25.82,94,100,3.6,CX,25200
185,weyburn,49.6668,-103.8511,26.12,34,100,1.54,CA,-21600
186,qaqortoq,60.7167,-46.0333,4.78,83,31,3.05,GL,-3600
187,hun,29.1268,15.9477,34.25,22,0,5.13,LY,7200
188,arteche,12.2645,125.4048,27.05,86,25,2.61,PH,28800
189,tura,25.5198,90.2201,24.36,97,100,2.51,IN,19800
190,west island,-12.1568,96.8225,26.99,94,75,8.23,CC,23400
191,revda,56.801,59.9303,20.37,83,12,3.04,RU,18000
192,codrington,-38.2667,141.9667,9.88,75,48,4.52,AU,36000
193,kodiak,57.79,-152.4072,20.73,40,0,4.12,US,-28800
194,qalat,32.1058,66.9083,26.6,11,0,2.67,AF,16200
195,pisco,-13.7,-76.2167,19.03,82,20,4.63,PE,-18000
196,beltran,-27.8291,-64.061,19.62,36,96,4.26,AR,-10800
197,lanzhou,36.0564,103.7922,17.89,88,100,2.36,CN,28800
198,corinto,37.9407,22.9573,24.38,55,0,0.71,GR,10800
199,bungoma,0.5635,34.5606,17.22,87,60,0.84,KE,10800
200,kimbe,-5.5502,150.1429,23.77,89,78,2.43,PG,36000
201,huilong,31.8111,121.655,21.78,89,68,2.77,CN,28800
202,les cayes,18.2,-73.75,30.35,61,94,5.23,HT,-14400
203,saipan,15.1355,145.701,28.39,78,40,4.63,MP,36000
204,tete,-16.1564,33.5867,20.08,64,20,2.24,MZ,7200
205,tual,-5.6667,132.75,25.78,77,100,9.43,ID,32400
206,ribeira grande,38.5167,-28.7,22.22,73,20,6.71,PT,0
207,ngaoundere,7.3167,13.5833,19.33,93,98,0.1,CM,3600
208,saudarkrokur,65.7461,-19.6394,13.22,69,35,1.69,IS,0
209,naze,28.3667,129.4833,23.51,91,100,10.7,JP,32400
210,novi petrivtsi,50.6224,30.4451,18.86,77,50,2.37,UA,10800
211,san angelo,31.4638,-100.437,34.52,37,0,5.14,US,-18000
212,nemuro,43.3236,145.575,11.94,100,100,3.37,JP,32400
213,rosso,16.4986,-15.8153,29.8,50,31,6.08,SN,0
214,bargaal,11.2864,51.0773,28.36,69,1,2.67,SO,10800
215,coahuayana de hidalgo,18.7,-103.6583,33.18,52,46,3.55,MX,-21600
216,libreville,0.3925,9.4537,27.01,89,40,4.63,GA,3600
